"Year","Physics_all","Physics_female","Chemistry_all","Chemistry_female","econ_all","Economics_female","Physiology.or.Medicine_all","Physiology.or.Medicine_female"
1901,NA,0,NA,0,NA,0,NA,0
1902,NA,0,NA,0,NA,0,NA,0
1903,NA,1,NA,0,NA,0,NA,0
1904,NA,0,NA,0,NA,0,NA,0
1905,NA,0,NA,0,NA,0,NA,0
1906,NA,0,NA,0,NA,0,NA,0
1907,NA,0,NA,0,NA,0,NA,0
1908,NA,0,NA,0,NA,0,NA,0
1909,NA,0,NA,0,NA,0,NA,0
1910,NA,0,NA,0,NA,0,NA,0
1911,NA,0,NA,1,NA,0,NA,0
1912,NA,0,NA,0,NA,0,NA,0
1913,NA,0,NA,0,NA,0,NA,0
1914,NA,0,NA,0,NA,0,NA,0
1915,NA,0,NA,0,NA,0,NA,0
1916,NA,0,NA,0,NA,0,NA,0
1917,NA,0,NA,0,NA,0,NA,0
1918,NA,0,NA,0,NA,0,NA,0
1919,NA,0,NA,0,NA,0,NA,0
1920,NA,0,NA,0,NA,0,NA,0
1921,NA,0,NA,0,NA,0,NA,0
1922,NA,0,NA,0,NA,0,NA,0
1923,NA,0,NA,0,NA,0,NA,0
1924,NA,0,NA,0,NA,0,NA,0
1925,NA,0,NA,0,NA,0,NA,0
1926,NA,0,NA,0,NA,0,NA,0
1927,NA,0,NA,0,NA,0,NA,0
1928,NA,0,NA,0,NA,0,NA,0
1929,NA,0,NA,0,NA,0,NA,0
1930,NA,0,NA,0,NA,0,NA,0
1931,NA,0,NA,0,NA,0,NA,0
1932,NA,0,NA,0,NA,0,NA,0
1933,NA,0,NA,0,NA,0,NA,0
1934,NA,0,NA,0,NA,0,NA,0
1935,NA,0,NA,1,NA,0,NA,0
1936,NA,0,NA,0,NA,0,NA,0
1937,NA,0,NA,0,NA,0,NA,0
1938,NA,0,NA,0,NA,0,NA,0
1939,NA,0,NA,0,NA,0,NA,0
1940,NA,0,NA,0,NA,0,NA,0
1941,NA,0,NA,0,NA,0,NA,0
1942,NA,0,NA,0,NA,0,NA,0
1943,NA,0,NA,0,NA,0,NA,0
1944,NA,0,NA,0,NA,0,NA,0
1945,NA,0,NA,0,NA,0,NA,0
1946,NA,0,NA,0,NA,0,NA,0
1947,NA,0,NA,0,NA,0,NA,1
1948,NA,0,NA,0,NA,0,NA,0
1949,NA,0,NA,0,NA,0,NA,0
1950,NA,0,NA,0,NA,0,NA,0
1951,NA,0,NA,0,NA,0,NA,0
1952,NA,0,NA,0,NA,0,NA,0
1953,NA,0,NA,0,NA,0,NA,0
1954,NA,0,NA,0,NA,0,NA,0
1955,NA,0,NA,0,NA,0,NA,0
1956,NA,0,NA,0,NA,0,NA,0
1957,NA,0,NA,0,NA,0,NA,0
1958,NA,0,NA,0,NA,0,NA,0
1959,NA,0,NA,0,NA,0,NA,0
1960,NA,0,NA,0,NA,0,NA,0
1961,NA,0,NA,0,NA,0,NA,0
1962,NA,0,NA,0,NA,0,NA,0
1963,NA,1,NA,0,NA,0,NA,0
1964,NA,0,NA,1,NA,0,NA,0
1965,NA,0,NA,0,NA,0,NA,0
1966,NA,0,NA,0,NA,0,NA,0
1967,NA,0,NA,0,NA,0,NA,0
1968,NA,0,NA,0,NA,0,NA,0
1969,NA,0,NA,0,NA,0,NA,0
1970,NA,0,NA,0,NA,0,NA,0
1971,NA,0,NA,0,NA,0,NA,0
1972,NA,0,NA,0,NA,0,NA,0
1973,NA,0,NA,0,NA,0,NA,0
1974,NA,0,NA,0,NA,0,NA,0
1975,NA,0,NA,0,NA,0,NA,0
1976,NA,0,NA,0,NA,0,NA,0
1977,NA,0,NA,0,NA,0,NA,1
1978,NA,0,NA,0,NA,0,NA,0
1979,NA,0,NA,0,NA,0,NA,0
1980,NA,0,NA,0,NA,0,NA,0
1981,NA,0,NA,0,NA,0,NA,0
1982,NA,0,NA,0,NA,0,NA,0
1983,NA,0,NA,0,NA,0,NA,1
1984,NA,0,NA,0,NA,0,NA,0
1985,NA,0,NA,0,NA,0,NA,0
1986,NA,0,NA,0,NA,0,NA,1
1987,NA,0,NA,0,NA,0,NA,0
1988,NA,0,NA,0,NA,0,NA,1
1989,NA,0,NA,0,NA,0,NA,0
1990,NA,0,NA,0,NA,0,NA,0
1991,NA,0,NA,0,NA,0,NA,0
1992,NA,0,NA,0,NA,0,NA,0
1993,NA,0,NA,0,NA,0,NA,0
1994,NA,0,NA,0,NA,0,NA,0
1995,NA,0,NA,0,NA,0,NA,1
1996,NA,0,NA,0,NA,0,NA,0
1997,NA,0,NA,0,NA,0,NA,0
1998,NA,0,NA,0,NA,0,NA,0
1999,NA,0,NA,0,NA,0,NA,0
2000,NA,0,NA,0,NA,0,NA,0
2001,NA,0,NA,0,NA,0,NA,0
2002,NA,0,NA,0,NA,0,NA,0
2003,NA,0,NA,0,NA,0,NA,0
2004,NA,0,NA,0,NA,0,NA,1
2005,NA,0,NA,0,NA,0,NA,0
2006,NA,0,NA,0,NA,0,NA,0
2007,NA,0,NA,0,NA,0,NA,0
2008,NA,0,NA,0,NA,0,NA,1
2009,NA,0,NA,1,NA,1,NA,2
2010,NA,0,NA,0,NA,0,NA,0
2011,NA,0,NA,0,NA,0,NA,0
2012,NA,0,NA,0,NA,0,NA,0
2013,NA,0,NA,0,NA,0,NA,0
2014,NA,0,NA,0,NA,0,NA,1
2015,NA,0,NA,0,NA,0,NA,1
2016,NA,0,NA,0,NA,0,NA,0
2017,NA,0,NA,0,NA,0,NA,0
2018,NA,1,NA,1,NA,0,NA,0
2019,NA,0,NA,0,NA,1,NA,0
2020,NA,1,NA,2,NA,1,NA,0
